,GAME,DATE,AGE,TEAM,OPP,RESULT,MP,FG,FGA,FGP,THREE,THREEATT,THREEP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,GAME_SCORE,MINUS_PLUS
0,1,2003-10-29,18.303,CLE,SAC,L,42.0,12,20,0.6,0,2,0.0,1,3,0.333,2,4,6,9,4,0,2,25,24.7,-9
1,2,2003-10-30,18.304,CLE,PHO,L,41.0,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,21,14.7,-3
2,3,2003-11-01,18.306,CLE,POR,L,39.0,3,12,0.25,0,1,0.0,2,2,1.0,0,4,4,6,2,0,2,8,5.0,-21
3,4,2003-11-05,18.31,CLE,DEN,L,41.0,3,11,0.273,0,2,0.0,1,1,1.0,2,9,11,7,2,3,2,7,11.2,-3
4,5,2003-11-07,18.312,CLE,IND,L,44.0,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,23,9.0,-7
5,6,2003-11-08,18.313,CLE,WAS,W,45.0,8,19,0.421,0,0,,1,4,0.25,5,3,8,9,1,1,2,17,15.7,14
6,7,2003-11-10,18.315,CLE,NYK,W,34.0,7,12,0.583,3,3,1.0,0,0,,1,4,5,4,1,1,2,17,15.8,20
7,8,2003-11-12,18.317,CLE,MIA,L,42.0,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,18,12.8,-4
8,9,2003-11-14,18.319,CLE,BOS,L,35.0,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,10,0.8,-1
9,10,2003-11-15,18.32,CLE,PHI,W,47.0,10,19,0.526,0,1,0.0,2,4,0.5,0,5,5,8,1,2,5,22,15.6,8
10,11,2003-11-18,18.323,CLE,LAC,W,39.0,6,16,0.375,0,2,0.0,2,4,0.5,2,5,7,8,0,1,3,14,9.8,1
11,12,2003-11-19,18.324,CLE,WAS,L,40.0,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,28,25.0,-5
12,13,2003-11-21,18.326,CLE,MIN,L,36.0,8,19,0.421,0,2,0.0,3,3,1.0,2,7,9,2,1,0,1,19,12.2,-5
13,14,2003-11-22,18.327,CLE,ATL,L,42.0,3,16,0.188,0,1,0.0,9,10,0.9,2,4,6,4,2,1,3,15,9.3,-6
14,15,2003-11-26,18.331,CLE,NOH,L,39.0,5,17,0.294,1,4,0.25,4,4,1.0,2,6,8,9,0,0,4,15,10.2,-13
15,16,2003-11-28,18.333,CLE,DET,L,36.0,2,8,0.25,0,2,0.0,2,3,0.667,0,2,2,7,0,0,4,6,1.1,-10
16,17,2003-11-29,18.334,CLE,MEM,L,55.0,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,33,22.4,-10
17,18,2003-12-02,18.337,CLE,DEN,L,32.0,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,19,12.2,-12
18,19,2003-12-03,18.338,CLE,LAC,L,34.0,2,13,0.154,0,3,0.0,0,0,,4,2,6,8,2,0,5,4,0.9,3
19,20,2003-12-06,18.341,CLE,ATL,W,36.0,4,12,0.333,0,2,0.0,0,0,,1,5,6,5,2,1,3,8,5.8,-5
20,21,2003-12-09,18.344,CLE,TOR,L,37.0,7,16,0.438,0,0,,4,4,1.0,0,5,5,3,1,0,2,18,11.4,-2
21,22,2003-12-11,18.346,CLE,DET,W,43.0,8,21,0.381,1,3,0.333,6,8,0.75,1,2,3,9,1,1,4,23,14.8,9
22,23,2003-12-13,18.348,CLE,BOS,L,45.0,10,20,0.5,1,5,0.2,16,18,0.889,1,2,3,4,0,0,2,37,27.5,-2
23,24,2003-12-15,18.35,CLE,IND,L,44.0,10,16,0.625,0,3,0.0,7,8,0.875,1,3,4,6,3,3,6,27,23.9,-12
24,25,2003-12-17,18.352,CLE,HOU,L,36.0,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,17,5.7,-9
25,26,2003-12-19,18.354,CLE,PHI,W,42.0,14,24,0.583,5,7,0.714,3,3,1.0,1,3,4,5,4,0,4,36,29.5,9
26,27,2003-12-20,18.355,CLE,CHI,W,42.0,11,22,0.5,0,5,0.0,10,12,0.833,1,5,6,10,2,2,4,32,28.0,9
27,28,2003-12-23,18.358,CLE,NOH,W,39.0,7,22,0.318,1,6,0.167,7,8,0.875,2,4,6,2,6,1,5,22,14.3,9
28,29,2003-12-25,18.36,CLE,ORL,L,47.0,13,28,0.464,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,34,19.1,-9
29,30,2003-12-26,18.361,CLE,CHI,L,34.0,7,24,0.292,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,18,5.1,-12
30,31,2003-12-28,18.363,CLE,POR,W,39.0,15,23,0.652,0,2,0.0,2,2,1.0,3,7,10,9,3,0,5,32,30.0,11
31,32,2003-12-30,19.0,CLE,IND,L,38.0,9,20,0.45,0,4,0.0,4,6,0.667,2,8,10,4,0,0,4,22,12.6,-2
32,33,2004-01-02,19.003,CLE,NJN,L,37.0,6,19,0.316,0,4,0.0,2,4,0.5,1,3,4,9,1,0,3,14,7.4,-14
33,34,2004-01-06,19.007,CLE,NYK,W,41.0,6,17,0.353,0,2,0.0,2,2,1.0,0,4,4,10,1,1,4,14,10.0,10
34,35,2004-01-07,19.008,CLE,TOR,L,38.0,10,23,0.435,0,3,0.0,1,2,0.5,0,2,2,5,0,0,2,21,9.4,-2
35,36,2004-01-09,19.01,CLE,BOS,L,43.0,7,19,0.368,0,3,0.0,5,7,0.714,0,3,3,6,3,0,5,19,10.4,-30
